X,D
948,0
971,0
963,0.7777777777777778
512,8.555555555555555
963,1.6666666666666665
921,0
904,0
781,0
857,0
963,0
873,0
937,0
1038,0
864,0
845,0
836,0
871,0
923,0
904,0
876,0
885,0
830,0
894,0
799,0
685,0
857,0
901,0
861,0
876,0
890,0
766,0
798,0
823,0
864,0
812,0
847,0
739,0
793,0
872,0
926,0
881,0
938,0
953,0
918,0
1014,0
976,0
872,0
857,0
868,0
961,0
993,0
1009,0
954,0
874,0
892,0
903,0
887,0
928,0.7777777777777778
488,8.555555555555555
839,1.6666666666666665
903,0
895,0
828,0
950,0
895,0
796,0
906,0
862,0
875,0
944,0
861,0
882,0
986,0
941,0
961,0
818,0
867,0
826,0
892,0
931,0
869,0
891,0
914,0
1023,0
902,0
841,0
958,0
921,0
986,0
863,0
911,0
931,0
878,0
963,0
1081,0
1055,0
988,0
947,0
1054,0
995,0
1057,0
1037,0
920,0
929,0
1028,0
1063,0
1034,0
1187,0
808,2.5
677,4.0
743,0
925,0
889,0
822,0
889,0
903,0
867,0
883,0
957,0
994,0
938,0
891,0
889,0
1051,0
865,0
891,0
826,0
914,0
947,0
959,0
982,0
947,0
930,0
836,0
916,0
873,0
918,0
864,0
899,0
1013,0
945,0
993,0
898,0
949,0
929,0
941,0
943,0
1050,0
1010,0
948,0
1029,0
1122,0
1015,0
989,0
1030,0
1101,0
1017,0
866,0
966,0
933,0
894,0
850,0
958,0
671,3.6666666666666665
709,2.833333333333333
948,0
865,0
838,0
828,0
933,0
832,0
918,0
947,0
922,0
865,0
1027,0
927,0
920,0
971,0
946,0
1025,0
984,0
1011,0
827,0
938,0
934,0
1040,0
833,0
850,0
924,0
824,0
812,0
1063,0
999,0
899,0
820,0
1065,0
1069,0
1018,0
1053,0
1144,0
1091,0
1022,0
1122,0
1060,0
1097,0
1193,0
1131,0
1096,0
1064,0
1115,0
1086,0
1006,0
1035,0.7777777777777778
542,8.555555555555555
861,1.6666666666666665
911,0
980,0
895,0
893,0
1014,0
1044,0
958,0
863,0
899,0
966,0
998,0
999,0
850,0
927,0
1103,0
916,0
864,0
996,0
906,0
876,0
1001,0
984,0
976,0
1038,0
903,0
967,0
969,0
934,0
1017,0
966,0
996,0
779,0
1024,0
915,0
1064,0
1089,0
974,0
1003,0
1013,0
1163,0
1066,0
1218,0
1220,0
1217,0
1241,0
1102,0
1054,0
1096,0
1092,1.5
695,5.0
1083,0
1151,0
951,0
891,0
908,0
1042,0
983,0
1055,0
880,0
978,0
918,0
1107,0
992,0
1015,0
945,0
966,0
909,0
906,0
910,0
866,0
907,0
912,0
1039,0
879,0
1013,0
828,0
1000,0
938,0
1058,0
933,0
884,0
905,0
1001,0
1019,0
1025,0
832,0
848,0
935,0
975,0
1035,0
979,0
1001,0
1125,0
1050,0
1116,0
1075,0
1018,0
1026,0
1050,0
1001,0
1022,0
991,0
908,0
796,2.5
829,4.0
815,0
915,0
904,0
1047,0
1125,0
691,0
954,0
929,0
932,0
959,0
938,0
964,0
961,0
913,0
979,0
1019,0
811,0
970,0
867,0
953,0
888,0
832,0
970,0
945,0
903,0
875,0
929,0
954,0
965,0
1081,0
948,0
1159,0
1033,0
907,0
1005,0
1049,0
1057,0
1096,0
969,0
1042,0
1129,0
1070,0
1167,0
1033,0
998,0
1012,0
1085,0
1047,0
1092,0.7777777777777778
586,8.555555555555555
886,1.6666666666666665
1064,0
805,0
942,0
876,0
1023,0
1050,0
790,0
977,0
1091,0
988,0
958,0
1062,0
844,0
985,0
947,0
891,0
897,0
980,0
928,0
952,0
992,0
1009,0
984,0
1131,0
965,0
874,0
901,0
1019,0
1054,0
1079,0
999,0
1040,0
1017,0
946,0
1060,0
1081,0
1073,0
1111,0
1230,0
1314,0
1088,0
1125,0
1196,0
1258,0
1175,0
1195,0
1240,0
1124,0
1081,2.5714285714285716
715,5.428571428571428
1032,0
976,0
1109,0
1001,0
1031,0
1039,0
1165,0
988,0
796,0
1014,0
1139,0
1064,0
1054,0
1060,0
1112,0
1048,0
890,0
1110,0
1030,0
1175,0
1041,0
1117,0
1179,0
1146,0
1079,0
1208,0
999,0
1101,0
1130,0
1130,0
1122,0
1107,0
1066,0
1289,0
1008,0
1045,0
1199,0
1274,0
1320,0
1318,0
1365,0
1331,0
1352,0
1374,0
1307,0
1299,0
1393,0
1100,0
1350,0
1583,0
1296,0
1187,0
1364,0
887,3.7142857142857144
1086,4.285714285714286
1274,0
1100,0
1109,0
1199,0
1133,0
1029,0
1026,0
1273,0
1348,0
1273,0
1096,0
1168,0
631,0
557,0
527,0
624,0
649,0
584,0
738,0
676,0
809,0
763,0
736,0
808,0
902,0
919,0
1069,0
1125,0
1169,0
1046,0
962,0
1129,0
1361,0
1267,0
1167,0
1162,0
1189,0
1241,0
1236,0
1236,0
1347,0
1301,0
1255,0
1104,0
1168,0
1278,0
1335,0
1245,0
1174,0.7777777777777778
565,8.555555555555555
1114,1.6666666666666665
1130,0
1044,0
1146,0
1308,0
1201,0
1167,0
1012,0
1000,0
1012,0
1059,0
973,0
924,0
845,0
833,0
848,0
980,0
963,0
1013,0
1030,0
1122,0
1100,0
1157,0
1197,0
1193,0
1046,0
1121,0
1017,0
1202,0
1094,0
1023,0
1146,0
1184,0
1357,0
1128,0
1069,0
1126,0
1195,0
1225,0
1244,0
1283,0
1045,0
1287,0
1275,0
1334,0
1350,0
1374,0
1185,0
1263,0
1135,1.7
593,9.1
1155,1.7
1133,0
1141,0
1253,0
1153,0
1282,0
1224,0
1213,0
1129,0
910,0
1234,0
1165,0
1171,0
1145,0
1017,0
1109,0
1173,0
1153,0
1054,0
1101,0
986,0
989,0
992,0
1035,0
1072,0
959,0
900,0
996,0
965,0
1067,0
1080,0
912,0
1011,0
1043,0
1118,0
1071,0
910,0
1138,0
949,0
1040,0
1174,0
1027,0
1115,0
1132,0
1076,0
1049,0
1068,0
1055,0
